created_at,user_id_str,id_str,lang,location,description,full_text,user_screen_name,user_name,followers_count,normal_followers_count,fast_followers_count,favourites_count,friends_count,media_count,statuses_count,retweeted,retweet_count,favorited,favorite_count
Sun Dec 03 15:54:54 +0000 2017,4219197432,937349434668498944,en,"Sugar Land, TX","Ofelia. Arizmendez @ deplorable me. I am a proud conservative Republican and I am a Trump supporter Trump 2020 Trump 2024, the unvaccinated are not dying!!!!",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs: https://t.co/dR2JLKKn7c,OfeliasHeaven,Ofelia Duchess Arizmendez,1738,1738,0,22791,2836,13391,64877,False,0,False,1
Sun Dec 03 17:53:54 +0000 2017,3018973429,937379378006282240,en,,,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/2HeaLgLtXK,lorn_cramer,Lorn Cramer,14,14,0,125,102,51,15428,False,0,False,0
Sun Dec 03 17:56:38 +0000 2017,3018973429,937380068590055425,en,,,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/ZYPUn4BIgN,lorn_cramer,Lorn Cramer,14,14,0,125,102,51,15428,False,0,False,0
Sun Dec 03 18:13:52 +0000 2017,115392787,937384406511005696,en,top secret,"Protect our Constitution,Keeping our Liberty, 2nd amendment, Freedom",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs: https://t.co/qPcclxR1RB,GovDeception,Information War👁,890,890,0,7866,1583,2918,156407,False,0,False,0
Sun Dec 03 19:03:23 +0000 2017,1689378834,937396865338818560,en,U.S. Rocky Mountains/Louisiana,"🇺🇸❤️🇺🇸 ♡USA, #CC #tcot🇺🇸#SOT❤️INTEGRITY #SOV #VETS #NeverForget U♡make a diff! 🙏🇺🇸❤️🇺🇸🙏#MAGA ❤️IFB #Patriots🇺🇸😎#IFBAP 🇺🇸 #PowerOfPrayer🙇‍♀️",@lupash7 Fantastic! 🙌💃🙌🇺🇸🇺🇸🇺🇸❤️🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸💙🇺🇸🇺🇸🇺🇸❤️🇺🇸🇺🇸🇺🇸💙,SavvyHuman,GG Smiles,41281,41281,0,126281,36445,9084,122764,False,0,False,2
Sun Dec 03 19:10:22 +0000 2017,899799837574438912,937398621376479232,en,Georgia,RN,@lupash7 @SavvyHuman KAEPERNICK IS WHO You WANT To THANK. A USELESS PERSON,kate_shes,@Kate -Shes,454,454,0,78,557,0,13482,False,0,False,0
Sun Dec 03 19:27:29 +0000 2017,913963129436033030,937402930348593154,en,,"Justin fields ROY, stocks and sneakers. Everything here is my dumbass opinion.",@lupash7 This is so fake omg how do y’all believe everything on the internet 😂😂😂😂,bears_szn,Bears 17-0,8,8,0,948,31,567,1902,False,0,False,0
Sun Dec 03 21:27:58 +0000 2017,2461292443,937433252192759808,en,beech island,,@lupash7 @dsshep1959 Great. NFL thinks changing shoes will bring fans back. Not me. NFL can give a billion dollars to charity. Would be a good thing. But I'm gone.,mitchum_andrew,andrew mitchum,1052,1052,0,23566,1512,157,35197,False,0,False,1
Sun Dec 03 23:11:53 +0000 2017,2554748448,937459404613578753,en,Central  Oklahoma,"Business pro's 💗ing a #nude #lifestyle at #home, #nature, #friends #hiking #Travel, #photography, #water volleyball, #pickelball. Shared acct MrT MsK #MAGA","@lupash7 First crack in the damn ??? Hope so,Good by National Felons League !!!😬😠",sassycoupleok,sassycoupleok,256,256,0,169130,440,109,43860,False,0,False,0
Mon Dec 04 03:16:47 +0000 2017,811012170377031681,937521036106575872,en,From the South!,"Joe Lee, my talking parrot, like reality tv 4 now, politics, news, & gardening","@lupash7 @SuziMurray8 Boo hoo, I'm crying my eyes out over this terrible news. NOT! Serves these disrespectful thugs right.",joe_hinder,🌷JoLena Hinder,878,878,0,109462,932,32,73745,False,0,False,0
