created_at,user_id_str,id_str,lang,location,description,full_text,user_screen_name,user_name,followers_count,normal_followers_count,fast_followers_count,favourites_count,friends_count,media_count,statuses_count,retweeted,retweet_count,favorited,favorite_count
Fri Feb 23 22:28:49 +0000 2018,2253869227,967164368768196609,en,"Scotts Bluff County, NE",Representing District 48,Small business owners: join the National Federation of Independent Business for Small Business Day on March 13th... https://t.co/tGOztWY6Um,JohnStinner,Senator John Stinner,1481,1481,0,3,294,18,759,False,0,False,1
Sat Feb 24 13:10:05 +0000 2018,4870450553,967386148468416513,en,"Atlanta, GA",COO | Product Design and Process Management | Marketing and Consumer Targeting | Vision Casting | Lifelong Learning,"Nearly a third of Main Street businesses say it's a good time to expand, the highest since the National Federation of Independent Business began asking in 1973. @CNNMoney #economy https://t.co/CNlxzL11yB",MattShepherdS,Matthew Shepherd,27,27,0,1,184,11,930,False,0,False,0
Mon Feb 26 21:36:27 +0000 2018,104713697,968238354599940096,en,"Pennsylvania, USA","National public service for legislative tracking and data API; both free and subscription offerings with advanced monitoring, research, and reporting tools.","HR704 [NEW] Commemorating the 75th anniversary of the National Federation of Independent Business on May 20, 2018. https://t.co/2VrvgBepqj",LegiScanPA,LegiScan PA,500,500,0,0,1,0,87832,False,0,False,0
Fri Mar 02 16:16:16 +0000 2018,65652389,969607331330908161,en,"Lansing, MI","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.","A record number of small business owners are saying “now is a good time to expand,” according to the National Federation of Independent Business (NFIB) January report. #Smallbiz https://t.co/qoSY8tf5tx https://t.co/9gN7rgkw2B",nfib_mi,NFIB Michigan,208,208,0,16,14,419,1199,False,0,False,0
Fri Mar 02 22:34:00 +0000 2018,865713914134183936,969702389421826049,en,"Nevada, USA",Fighting on the ground (and online) for @deanheller. #TeamDean #NVsen,The State Director of the National Federation of Independent Business praises @DeanHeller for #TaxReform: https://t.co/MTVJlqFuWz,TeamDean,Team Dean,580,580,0,1415,645,670,3064,False,3,False,9
Sat Mar 03 01:52:19 +0000 2018,402284409,969752298225356800,en,,,Jobs Arizona:  Outside Sales Representative - National Federation of Independent Business… https://t.co/oijWeHcoHc,My_Income,myincome,389,389,0,0,245,0,153588,False,0,False,0
Sat Mar 03 01:52:27 +0000 2018,402284409,969752332220190721,en,,,Jobs Arizona:  Outside Sales Representative - National Federation of Independent Business… https://t.co/nUuadfpK23,My_Income,myincome,389,389,0,0,245,0,153588,False,0,False,0
Sat Mar 03 17:17:43 +0000 2018,700736439386898432,969985181695213568,en,,Want unlimited access to all Supplierty Articles?  Subscribe to Supplierty Professional and enjoy news covering small and diverse business throughout the world,More good news from the National Federation of Independent Business on small business confidence https://t.co/ImeNi3PIys,supplierty,Supplierty News,1617,1617,0,26428,4823,1215,10175,False,0,False,0
Tue Mar 06 13:31:57 +0000 2018,923563540950274049,971015530822893568,en,,This is now a Todd Pillion stan account.,"400 rose-colored, laughing gas infused words, before the actual lead.

The National Federation of Independent Business Research found that [$15 min wage] would cost 99,000 jobs over 10 years, and the hardest hit sectors would be retail and food services.

https://t.co/z3lfCZzotF",Just1Conserv,Just1Conservative,282,282,0,10531,2158,710,7561,False,0,False,0
Wed Mar 07 02:06:53 +0000 2018,807095,971205515463274496,en,New York City,News tips? Share them here: https://t.co/ghL9OoYKMM,"Breaking News: The Justice Department is suing California over immigration laws that oppose President Trump's agenda, its boldest attack yet on the state
https://t.co/WcOTPOMikg",nytimes,The New York Times,55112684,55112684,0,18750,876,64207,508127,False,891,False,896
Wed Mar 07 02:13:25 +0000 2018,969391145951354881,971207160637083648,en,,"Old retired guy enjoying life, family, and being able to live in our great country. Value honesty and morality. Former Military Liaison @ Nat’l Guard","@nytimes It’s not Trump’s agenda. It is existing federal immigration law, the same law that existed during Obama’s tenure but he chose to ignore. Sanctuary cities and states are illegal. All Trump is doing is enforcing the the law.",JohnAub12044225,John Aubrey,82,82,0,11,321,8,760,False,6,False,22
Wed Mar 07 02:44:14 +0000 2018,1228833504,971214912130203648,en,by the sea,BLACK LIVES MATTER,"@JohnAub12044225 @nytimes What federal law requires states to help enforce federal laws? There isn’t such a law b/c that would violate the 10th Amendment. The federal gov can try to induce states to enact certain laws (e.g. drinking age) or adopt certain programs, but the federal gov cannot",wondrlost,🇺🇦🌻I could be anybody,247,247,0,89238,751,2920,28396,False,0,False,4
Wed Mar 07 02:46:29 +0000 2018,1228833504,971215479015555072,en,by the sea,BLACK LIVES MATTER,@JohnAub12044225 @nytimes Force states to do so. Nor can the feds threaten existing inducements to strong arm states. (See National Federation of Independent Business v. Sebelius).,wondrlost,🇺🇦🌻I could be anybody,247,247,0,89238,751,2920,28396,False,0,False,4
Thu Mar 08 06:00:04 +0000 2018,950935998904655877,971626584120717313,en,"San Antonio, TX","Legal training is the foundation for success in many careers, and Trinity University has a long history of ensuring the best pre-law education in Texas.","National Federation of Independent Business v. Sebelius was a landmark United States Supreme Court decision in which the Court upheld Congress' power to enact most provisions of the Affordable Care Act (ACA), including a requirement for most Americans to have health insurance. https://t.co/PETPlhhoUv",trinityprelaw,Trinity University Pre-Law Society,38,38,0,28,42,18,75,False,0,False,1
Thu Mar 08 07:21:22 +0000 2018,3822121,971647044992385024,en,"Hagatna, Guam",Guam's News Network | https://t.co/rb2im2m9mW| https://t.co/3GeINS9LVL| Stay Connected 🎤🎥📹🎙📺,"The District Court held their annual District Conference. Guests included Honorable Margaret McKeown, who sits on the U.S. Court of Appeals, and David S. Addington Senior Vice Presdient, General Counsel and Chief Legal Officer at the National Federation of Independent Business.",kuamnews,KUAM News,19869,19869,0,346,75,20764,100158,False,0,False,1
Fri May 05 20:45:06 +0000 2023,3822121,1654588050737881088,en,"Hagatna, Guam",Guam's News Network | https://t.co/rb2im2m9mW| https://t.co/3GeINS9LVL| Stay Connected 🎤🎥📹🎙📺,Streaming now: Auntie Anne's Pretzels now open at GPO https://t.co/pNP1bc1QTF,kuamnews,KUAM News,19869,19869,0,346,75,20764,100158,False,0,False,2
Thu Mar 08 18:31:58 +0000 2018,65652389,971815808916770816,en,"Lansing, MI","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.",“A record number of small business owners said that now is a good time to expand according to the National Federation of Independent Business’ most recent optimism index.” #smallbiz https://t.co/awUdI5AXAj,nfib_mi,NFIB Michigan,208,208,0,16,14,419,1199,False,0,False,0
Thu Mar 08 23:44:10 +0000 2018,16429852,971894375075762176,en,"Topeka, KS","The Topeka Capital-Journal is the oldest & largest media outlet in NE Kansas. News tip? DM us on Twitter, call at 7852951240 or email at webmaster@cjonline.com","“The annual average increase of approximately six mills over the next three years would be a real manifestation of the Book of Revelation’s ‘number of the beast’ for Kansas small business owners,” said Dan Murray, Kansas director of the National Federation of Independent Business https://t.co/W9mT4LD6Y4",CJOnline,CJOnline,31158,31158,0,339,730,12966,152812,False,0,False,0
Sun May 07 14:47:02 +0000 2023,16429852,1655222715572273157,en,"Topeka, KS","The Topeka Capital-Journal is the oldest & largest media outlet in NE Kansas. News tip? DM us on Twitter, call at 7852951240 or email at webmaster@cjonline.com",Kansas State coach Chris Klieman saw potential in Ben Sinnott that others missed. https://t.co/JrDOKP3WmQ,CJOnline,CJOnline,31158,31158,0,339,730,12966,152812,False,0,False,1
Sat Mar 10 14:00:05 +0000 2018,19245431,972472163088371713,en,Maryland,"Official Twitter page of the Maryland Republican Party. Auth: R. Christopher Rosenthal, Treas.","Thanks to Republican leadership, according to a National Federation of Independent Business survey, 32 percent... https://t.co/0jZLq63FWk",MDGOP,Maryland Republican Party,11385,11385,0,227,4202,243,6745,False,1,False,0
Sat Mar 10 14:28:03 +0000 2018,19937107,972479200849465344,en,,,@MDGOP U  DID  NOT HELP  THIS STUPID  SICK LEAVE  FIASCO   U  ACT LIKE DEMOCRATS,sher308,dont put name on twi,360,360,0,119147,646,884,280659,False,0,False,0
Sat Mar 10 17:15:51 +0000 2018,90093920,972521429379010561,en,,"By Grace Alone, Ephesians 2:8-9","National Federation of Independent Business has endorsed @Saccone4PA18 in #PA18 Congressional District Special Election March 13, 2018 https://t.co/IkY2msa7DM #RickSaccone",Bethanie4Real,@Bethanie4Real,1978,1978,0,3381,2147,481,32277,False,0,False,0
Sat Mar 10 17:16:56 +0000 2018,199397503,972521700033286145,en,"Plano, TX",Delivering HUMan CAPital Excellence. Integrated Human Resources and Recruiting services built to serve your needs.,"52% of small biz owners are hiring or trying to hire, but they continue to have difficulty finding qualified workers, per National Federation of Independent Business' February jobs report. 47% of small biz owners said they had few or no qualified applicants for the jobs! 📞 us!",HumCapLP,HumCap LP,203,203,0,237,222,336,1799,False,0,False,1
Sun Mar 11 03:52:58 +0000 2018,883511031112146944,972681763175784448,en,"Phoenix, AZ",S & R Painting #Veteran owned & Operated 45 years #Commercial #Residential #Painting #RePainting Metro #Phoenix & #Tucson #Arizona License#233294 (623)516-0777,"S&amp;R Painting is a proud member #NFIB National Federation of Independent Business, in Arizona.… https://t.co/WGKuhgEMq3",SRPaintingAZ,S & R Painting,27,27,0,22,189,4,58,False,0,False,0
Sun Mar 11 12:05:02 +0000 2018,2353605901,972805595077251072,en,,"@GOP Chairwoman | Wife, mother of two",A record number of small business owners said that now is a good time to expand according to the National Federation of Independent Business’ most recent optimism index.,GOPChairwoman,Ronna McDaniel,1251738,1251738,0,13628,2667,3046,25064,False,111,False,361
Sun Mar 11 12:05:54 +0000 2018,14574162,972805813436854276,en,"Washington, DC",yep.,"@GOPChairwoman Ronna, it’s #SundayMorning   
Give it a rest https://t.co/M2fHBmmOCb",lasesana,Lasesana,6930,6930,0,81106,7231,6025,40081,False,0,False,3
Sun Mar 11 12:10:37 +0000 2018,2181999885,972807001360228352,en,"Boca Raton, FL",You know when it says “don’t think too hard”? I usually don’t listen. Ask me about socialism. Criticism teaches more than flattery | No lists |,"@GOPChairwoman Optimism, much like certain political parties, is easily bought!
Stop spewing #GOPPropaganda!",BOB_1and_only,Bob,10904,10904,0,140347,9904,3883,91574,False,0,False,3
Sun Mar 11 12:16:55 +0000 2018,23937672,972808584563077121,en,,Work Hard Play Hard...proud mom SU Alumnus. Go Orange🍊,"@GOPChairwoman Nothing like having a President who denigrates everyone in opposition.  In case you don't know American governing Ronna, we are a democracy not an autocratic myopia of an alt right regeim.",joeylaf,joey Laifer,514,514,0,53754,258,23,25738,False,0,False,2
Sun Mar 11 13:36:05 +0000 2018,719243145263869952,972828507112919040,qme,Lauderhill Florida ,"#BossLady from Lakeville , Minnesota USA🇺🇲 Soccer Mom",@GOPChairwoman https://t.co/5lzgZZmLtX,jennahannee,JennahAnne,2154,2154,0,153855,1192,30239,214919,False,0,False,0
Sun Mar 11 13:37:10 +0000 2018,719243145263869952,972828780967309312,qme,Lauderhill Florida ,"#BossLady from Lakeville , Minnesota USA🇺🇲 Soccer Mom",@GOPChairwoman https://t.co/zPA1kkSO1a,jennahannee,JennahAnne,2154,2154,0,153855,1192,30239,214919,False,0,False,0
