id_str,lang,location,description,full_text,user_screen_name,user_name,followers_count,normal_followers_count,fast_followers_count,favourites_count,friends_count,media_count,statuses_count,retweeted,retweet_count,favorited,favorite_count
937349434668498944,en,"Sugar Land, TX","Ofelia. Arizmendez @ deplorable me. I am a proud conservative Republican and I am a Trump supporter Trump 2020 Trump 2024, the unvaccinated are not dying!!!!",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs: https://t.co/dR2JLKKn7c,OfeliasHeaven,Ofelia Duchess Arizmendez,1739,1739,0,22792,2837,13391,64877,False,0,False,1
937379378006282240,en,,,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/2HeaLgLtXK,lorn_cramer,Lorn Cramer,14,14,0,125,102,51,15428,False,0,False,0
937380068590055425,en,,,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/ZYPUn4BIgN,lorn_cramer,Lorn Cramer,14,14,0,125,102,51,15428,False,0,False,0
937384406511005696,en,top secret,"Protect our Constitution,Keeping our Liberty, 2nd amendment, Freedom",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs: https://t.co/qPcclxR1RB,GovDeception,Information War👁,891,891,0,7866,1582,2918,156408,False,0,False,0
937396865338818560,en,U.S. Rocky Mountains/Louisiana,"🇺🇸❤️🇺🇸 ♡USA, #CC #tcot🇺🇸#SOT❤️INTEGRITY #SOV #VETS #NeverForget U♡make a diff! 🙏🇺🇸❤️🇺🇸🙏#MAGA ❤️IFB #Patriots🇺🇸😎#IFBAP 🇺🇸 #PowerOfPrayer🙇‍♀️",@lupash7 Fantastic! 🙌💃🙌🇺🇸🇺🇸🇺🇸❤️🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸💙🇺🇸🇺🇸🇺🇸❤️🇺🇸🇺🇸🇺🇸💙,SavvyHuman,GG Smiles,41170,41170,0,126200,36275,9069,122603,False,0,False,2
937398621376479232,en,Georgia,RN,@lupash7 @SavvyHuman KAEPERNICK IS WHO You WANT To THANK. A USELESS PERSON,kate_shes,@Kate -Shes,454,454,0,78,558,0,13482,False,0,False,0
937402930348593154,en,,"Justin fields ROY, stocks and sneakers. Everything here is my dumbass opinion.",@lupash7 This is so fake omg how do y’all believe everything on the internet 😂😂😂😂,bears_szn,Bears 17-0,8,8,0,948,31,567,1902,False,0,False,0
937433252192759808,en,beech island,,@lupash7 @dsshep1959 Great. NFL thinks changing shoes will bring fans back. Not me. NFL can give a billion dollars to charity. Would be a good thing. But I'm gone.,mitchum_andrew,andrew mitchum,1051,1051,0,23569,1510,157,35198,False,0,False,1
937459404613578753,en,Central  Oklahoma,"Business pro's 💗ing a #nude #lifestyle at #home, #nature, #friends #hiking #Travel, #photography, #water volleyball, #pickelball. Shared acct MrT MsK #MAGA","@lupash7 First crack in the damn ??? Hope so,Good by National Felons League !!!😬😠",sassycoupleok,sassycoupleok,267,267,0,168774,447,109,43801,False,0,False,0
937521036106575872,en,From the South!,"Joe Lee, my talking parrot, like reality tv 4 now, politics, news, & gardening","@lupash7 @SuziMurray8 Boo hoo, I'm crying my eyes out over this terrible news. NOT! Serves these disrespectful thugs right.",joe_hinder,🌷JoLena Hinder,877,877,0,109468,929,32,73745,False,0,False,0
937525191273533441,en,,"Justin fields ROY, stocks and sneakers. Everything here is my dumbass opinion.",@4USAtoday @lupash7 @dtalley1952 Article is fake genius,bears_szn,Bears 17-0,8,8,0,948,31,567,1902,False,0,False,0
937415066810503168,en,"Rhode Island, USA","John 3:3 Christian, Patriot, Providence RI, USNAVY Submarine Veteran, SSN700, TRUMP",AND SO IT BEGINS  -  BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/YusrkemyG3,WilliamNerbonne,❌William Nerbonne 🇺🇸🇮🇱,13587,13587,0,6218,13132,133,6860,False,1,False,0
937429898670600192,en,Ozarks. Missouri ,Happily married conservative Pentecostal woman. Serious about Jesus Educated Hillbilly. Find liberals to be extremely funny and often wicked,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/1WEIIpHv1n,starchaser57,🌹Star Chaser 🌼🇺🇸,1272,1272,0,9923,1367,4330,77923,False,0,False,0
1653156620002623498,en,Ozarks. Missouri ,Happily married conservative Pentecostal woman. Serious about Jesus Educated Hillbilly. Find liberals to be extremely funny and often wicked,Once again this man pretending to be a girl has erased women with the permission of liberals and feminists,starchaser57,🌹Star Chaser 🌼🇺🇸,1272,1272,0,9923,1367,4330,77923,False,0,False,0
937449906352152576,en,,Deplorable member of The Silenced Majority.. #Trump2024 #2A #JoinTheNRA #MAGA  #Defendthe2nd #RedWaveRising,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/8aPd2LRUwI,ThePipeStore,Mr. Walker 🇺🇸,14346,14346,0,24372,15451,181,17404,False,0,False,0
937450317142286336,en,,"I AM the Daughter of the King who is not moved by the world for my God is with me and goes before me.  I do not fear because I AM H I S.
*From Your Daughter*",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/6Ls026UTaI,bronwyn1140,"Daughter of the King, (Worthy) Bronwyn",6168,6168,0,330740,6787,24926,338007,False,0,False,0
1653174565390917632,en,,"I AM the Daughter of the King who is not moved by the world for my God is with me and goes before me.  I do not fear because I AM H I S.
*From Your Daughter*","From where I sit :-

bidens and bribes",bronwyn1140,"Daughter of the King, (Worthy) Bronwyn",6168,6168,0,330740,6787,24926,338007,False,0,False,3
937451599320027136,en,,"Mark Fleming was the first TV adventurer with 17 years in syndication to 127 TV stations, CBS, NBC, and Travel Channel. Now retired but still very cool.",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/y1fH3Q7faO #ma4t,movie1212,Movie 1212,16764,16764,0,1767,11887,10742,45890,False,0,False,0
937452013939494912,en,,,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/nphwOnEjmK,michaelaw631,Michael Wilcox,88,88,0,21949,468,148,33728,False,0,False,0
937452151227510784,en,,,@PaulVandenburgh BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/nphwOnEjmK,michaelaw631,Michael Wilcox,88,88,0,21949,468,148,33728,False,0,False,0
937453119478423553,en,"Texas, USA","Constitutional Conservative. Retired GySgt./USMC. 100% Disabled Veteran. American by birth, Marine by the Grace of God.
I RT/FBAP
#KAG2020  #DAV #NRA #VFW #TVC",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/4iuSCwbc7A,Nappers824,Baker3311,2758,2758,0,20630,2888,14189,49266,False,0,False,0
937510332439855110,en,TIME MACHINE⏱,I love my AMERICA! Pure blood!🇺🇸 ULTRA MAGA PATRIOT Constitutional conservative Yes I carry! DrainTheSwamp Pray for Israel🇸🇻 🇺🇸 Jesus Saves!,"@MrEdTrain @USAgaggy63 A friend said something that really hit me 
  ""We can't even enjoy Trump being our President."" Lovely First Lady, lovely family.
As usual, the Democrats destroy and suck the joy out of every facet of American life.#sybilsays #maga",stillcrazy50,StillCrazy50 - Don’t believe everything you hear!,2459,2459,0,9534,4967,320,4629,False,0,False,0
937510632647249921,en,TIME MACHINE⏱,I love my AMERICA! Pure blood!🇺🇸 ULTRA MAGA PATRIOT Constitutional conservative Yes I carry! DrainTheSwamp Pray for Israel🇸🇻 🇺🇸 Jesus Saves!,@MrEdTrain @USAgaggy63 I LOVE it I hope the rest of them follow suit #sybilsays #NFL,stillcrazy50,StillCrazy50 - Don’t believe everything you hear!,2459,2459,0,9534,4967,320,4629,False,0,False,1
937506509491134466,en,#codeofvets,"Jim Kraft passed away yesterday, March 31, at 10:23 PM ~Goodbye, Dad.😔",@MrEdTrain Doesn't mean they're dead. Just means they can legally not pay their bills.,strikerwon,Jim Kraft,744,744,0,9180,849,105,13630,False,0,False,0
937510227385057280,en,,Narsacist cut from a extinct fabric but still funny enjoying life #BossesLife 🤔,@MrEdTrain @mahrbeezer Great let all the teams go bankrupt I bet I don’t commit suicide if they do🤣 I didn’t work for any of them👏🏽,Dionjones20Dion,Dion,72,72,0,1609,326,27,1971,False,0,False,1
937511888652398593,en,,Narsacist cut from a extinct fabric but still funny enjoying life #BossesLife 🤔,@MrEdTrain @mahrbeezer What will sports fans do now🤷🏾‍♂️watching teams of rich racist really will hurt those who don’t have anything else to do but that will give us more time to make more changes to their business as usual lifestyle 🤣,Dionjones20Dion,Dion,72,72,0,1609,326,27,1971,False,0,False,1
937524121583456256,en,,| ⚖️ | Blue Team | Network Security | DevOps | Black Twitter Detective,"@MrEdTrain @strikerwon Talent will always win out, money changes hands all the time...",KingTut2nd,nOeGo🏴,125,125,0,8693,751,29,3354,False,0,False,1
937471159246950401,en,Central Illinois,"Christian, Veteran, Conservative, Trumpian, Curator on over 225 subjects at https://t.co/qKpBVWmJ10",BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/JUQoyu011H,ronwagn,Ron Wagner,4032,4032,0,15150,5029,2377,183659,False,1,False,0
937473844813508609,en,Arizona,WH & weaponized DOJ are now full TOTALITARIAN! Dems' goal for power is silencing conservatives which = 1A + 2A + 4A evisceration. Followed by Dinesh D'Souza.,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/NOEQ6y0aDR #JacksonvilleJaguars #NFLkneelers #KarmaIsAnSOB,ChasD3,JUS' SAYIN' MAGA,37385,37385,0,12277,9135,204,51464,False,5,False,5
937474772300189696,en,usa,"I love painting,I love my dog and think all animals are part of a higher order and should be treated with respect. Free Thinker #MAGA #KAG🇺🇸",@ChasD3 Good! A little respect please😡,sissisissi212,Sissi,3168,3168,0,62337,4055,38,75801,False,0,False,0
937716063332130817,qme,904,Jesus died so you could post melodramatic status updates on the internet. (Mexican/American),@ChasD3 https://t.co/jPHnJ4GzxW,Salvadorxx98,_,2779,2779,0,5723,848,376,8349,False,0,False,0
938929097627127808,en,San Antonio Texas,"A Veteran Trumplican!! Parler: frankjanitzio, @patriotspartyus husband, grand father, father, Jesus lover, remodeling is my life.",@ChasD3 They should move to San Antonio @SanAntTXRR,fjrsatx,savedbyjesus,649,649,0,4826,4314,384,7173,False,0,False,0
940628812391383040,en,,"Realist, sarcastic, sports fan! Purveyor of common sense.",@ChasD3 What a bunch of total BS! You should be ashamed of your self spreading this fake crap!,sports_lee1,Sportsfan,17,17,0,782,47,117,3099,False,0,False,0
937474875861749760,en,"Cincinnati, OH",Retired & and a licensed Ham.,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs https://t.co/pfEfsVD8eY,Kurt_770A,Kurt Schank,426,426,0,11279,836,1690,5126,False,0,False,0
937486353884958721,qme,United States,God 🙏 Family❤️ Country 🇺🇸 🐰 SDSU Jacks Fan 🏈,@RealMAGASteve #WINNING,get4208,The OG Red,20652,20652,0,129701,15777,10401,171277,False,3,False,6
937486667245596672,en,Central louisiana and west tx,Government & Politics Government & Politics Humor Weird Cute Animals MAGA no DACA no illegal immigrants no refugee’s,@RealMAGASteve I hope the whole NFL goes belly up or move to another country and take the trashy sponsors with them,gdberry911,George Berry,11496,11496,0,1566,12295,70,65909,False,2,False,4
937487065285058561,en,Texas,Texas secessionist.  The answer to every problem is Jesus.  Believe America is headed to hell and Liberals are driving the bus.,@RealMAGASteve @Trumpfan1995 God Bless! I ❤️ our military,useralx1431,Rasputin’s Retarded Half Brother,815,815,0,115789,794,7975,137519,False,1,False,1
937488409303617537,en,,,@RealMAGASteve @RuthieRedSox Good!!!,IngmanDavid,David Ingman,2096,2096,0,13472,1179,49,44111,False,1,False,4
937501847841116160,qme,,"Trump is our president, CNN is fake, Stand for the Flag, kneel when you https://t.co/MWkr9hzsuH the Wall ! I follow back patriots!",@RealMAGASteve @JanettePattison  https://t.co/yo3oj1rKva,supedave70360,David B,1757,1757,0,3420,2680,4037,76589,False,1,False,6
937500832328830976,en,"Largo, FL","Retired Webmaster, Author, Youtube content creator, KN4RBO #MAGA",@RealMAGASteve Now these rich athletes can be SJW's in the unemployment line.,yophotoman,John Brown,685,685,0,3790,575,40,2636,False,0,False,0
937502137596203009,en,Behind a blade of grass,"Saved, USMC, MOLON LABE, Texas",@RealMAGASteve @GrizzleMeister Good,Falcore,@Falcore,1973,1973,0,12410,3707,2246,11130,False,0,False,0
937503575806267392,en,Jerusalem,"פעילים זכו בזכויות להט""ב+ בבתי המשפט בישראל מכיוון שישראל היא אומה של חוקים, חופשית ודמוקרטית. זכויות אדם והגדרה עצמית לכולם.","@RealMAGASteve It's an April Fools joke, but one can dream. =D",h7n33n,🇺🇦 ISRAEL BACKS #LGBTQ+ 🇮🇱🏳️‍🌈,6372,6372,0,189428,3770,10313,180861,False,1,False,1
937504175767900160,en,"Texas, USA","Retired AC man, Father, Husband, Fav. Movie: Forbidden Planet, Trump. I support Military & Police, Texan for LIFE. Sunset HS '66' Oak Cliff, Dallas, Texas & Fl.",@RealMAGASteve @HyltonRobin Where will the players millions come from when no one watches.,cdaubitz,Charlie D.,6195,6195,0,11938,6340,12155,62131,False,1,False,3
937515175837437952,en,"Washington, DC.","God,  Family, my Country -1st.  Const. Conservative.  Exposing  Govt./Media Corruption, Lies. Follow me/am shadow banned/ will follow back as able.   +",@RealMAGASteve Awesome!,patriotguard007,Rex,11391,11391,0,31546,12736,101,39614,False,1,False,3
937522436186169344,en,United States,no more tweeting,"@RealMAGASteve @americandream09 Yes,Yes,Yes “Good News “ # Boycotting NFL and sponsors # Good work # Patriots # Trump-Pence 👍❤️🇺🇸# MAGA# Respect # military # veterans # past,present and future # defending # sacrifice # our freedom # stand for the flag 👼🇺🇸kneel for the cross ✝️# love our president....",broemmeling2,shelf life over due,706,706,0,6627,658,14,6255,False,1,False,2
937507151567839232,en,living in South America,"Conservative in politics and religion. God, family, and country. Proud and Patriotic American. Believer in freedom and liberty. I follow back.",@RealMAGASteve @SkiPow7 Why the team owners allow this is beyond me.,Real_jhwood,John Wood,26,26,0,1432,103,9,2034,False,0,False,2
937507706189033472,en,USA,"Government , Puppies, Woodworking","@RealMAGASteve Great news, hope it’s just the beginning",Bobjarso1,RJ#1,1513,1513,0,15461,1460,203,35139,False,0,False,1
937512452152967169,en,"Midwest (NE,IA,KS)","When a well-packaged web of lies has been sold gradually to the masses over generations, the truth will seem utterly preposterous&its speaker a raving lunatic.",@RealMAGASteve They should NOT of choosen re-organization.. What assets does the team really have? This will be interesting to watch...,cat_1012000,Alice 🇺🇸✝️,12808,12808,0,8654,2292,5609,363620,False,0,False,1
937524376068435968,en,United States,no more tweeting,@RealMAGASteve @americandream09 Donald J. Trump # best president ever # my Christmas present 🎁🎄❤️🦅🤝🙋‍♂️🙋‍♀️@RealMAGASteve and americandream09  🇺🇸🦅🤝🐘🇺🇸,broemmeling2,shelf life over due,707,707,0,6627,656,14,6255,False,1,False,3
937524873311719424,en,"Texas, USA","Love Jesus, family, guns, Veterans, USA, Trump & Yorkies. Learning to deal with left stupidity. Politically correct is trespass on my free speech. I don't PC.",@RealMAGASteve @americandream09 Awesome military. We love u !...watch NFL WHORES fall..investors are loosing big bucks..,timothy_havard,Huckleberry,3941,3941,0,5154,4430,67,12824,False,5,False,8
